OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Nieuwezijds Kolk";"Tram";"2 | 11 | 12 | 13 | 17";"02|11|12|13|17";5;"2 | 11 | 12 | 13 | 17 - Nieuwezijds Kolk";"POINT(4.893349,52.376064)";"POINT(52.376064,4.893349)";4.893349;52.376064;
2;"Surinameplein";"Tram";"1 | 11 | 17";"01|11|17";5;"1 | 11 | 17 - Surinameplein";"POINT(4.853122,52.358377)";"POINT(52.358377,4.853122)";4.853122;52.358377;
3;"Johan Huizingalaan";"Tram";"1 | 17";"01|17";5;"1 | 17 - Johan Huizingalaan";"POINT(4.82733,52.357809)";"POINT(52.357809,4.82733)";4.82733;52.357809;
4;"Spui";"Tram";"2 | 11 | 12";"02|11|12";5;"2 | 11 | 12 - Spui";"POINT(4.889295,52.369254)";"POINT(52.369254,4.889295)";4.889295;52.369254;
5;"Prinsengracht";"Tram";"2 | 11 | 12";"02|11|12";5;"2 | 11 | 12 - Prinsengracht";"POINT(4.884471,52.365017)";"POINT(52.365017,4.884471)";4.884471;52.365017;
6;"Keizergracht";"Tram";"2 | 11 | 12";"02|11|12";5;"2 | 11 | 12 - Keizergracht";"POINT(4.886451,52.365956)";"POINT(52.365956,4.886451)";4.886451;52.365956;
7;"Koningsplein";"Tram";"2 | 11 | 12";"02|11|12";5;"2 | 11 | 12 - Koningsplein";"POINT(4.888961,52.366998)";"POINT(52.366998,4.888961)";4.888961;52.366998;
8;"Matterhorn";"Tram";"1";"01";5;"1 - Matterhorn";"POINT(4.77478,52.353738)";"POINT(52.353738,4.77478)";4.77478;52.353738;
9;"Pilatus";"Tram";"1";"01";5;"1 - Pilatus";"POINT(4.776851,52.35291)";"POINT(52.35291,4.776851)";4.776851;52.35291;
10;"Inarisstraat";"Tram";"1";"01";5;"1 - Inarisstraat";"POINT(4.783292,52.350331)";"POINT(52.350331,4.783292)";4.783292;52.350331;
11;"Baden Powellweg";"Tram";"1";"01";5;"1 - Baden Powellweg";"POINT(4.794752,52.350978)";"POINT(52.350978,4.794752)";4.794752;52.350978;
12;"Hoekenes";"Tram";"1";"01";5;"1 - Hoekenes";"POINT(4.802261,52.352498)";"POINT(52.352498,4.802261)";4.802261;52.352498;
13;"Louis Davidsstraat";"Tram";"1";"01";5;"1 - Louis Davidsstraat";"POINT(4.808848,52.35389)";"POINT(52.35389,4.808848)";4.808848;52.35389;
14;"Eerste Constantijn Huygensstraat / Overtoom";"Tram";"1 | 3 | 11";"01|03|11";5;"1 | 3 | 11 - Eerste Constantijn Huygensstraat / Overtoom";"POINT(4.875292,52.362745)";"POINT(52.362745,4.875292)";4.875292;52.362745;
15;"Rhijnvis Feithstraat";"Tram";"1 | 11";"01|11";5;"1 | 11 - Rhijnvis Feithstraat";"POINT(4.860101,52.358961)";"POINT(52.358961,4.860101)";4.860101;52.358961;
16;"Kruislaan";"Tram";"19";"19";5;"19 - Kruislaan";"POINT(4.940195,52.347751)";"POINT(52.347751,4.940195)";4.940195;52.347751;
17;"Brinkstraat";"Tram";"19";"19";5;"19 - Brinkstraat";"POINT(4.947654,52.343067)";"POINT(52.343067,4.947654)";4.947654;52.343067;
18;"Arent Krijtstraat";"Tram";"19";"19";5;"19 - Arent Krijtstraat";"POINT(4.954538,52.339603)";"POINT(52.339603,4.954538)";4.954538;52.339603;
19;"Diemerbrug";"Tram";"19";"19";5;"19 - Diemerbrug";"POINT(4.9612659,52.3382915)";"POINT(52.3382915,4.9612659)";4.9612659;52.3382915;
21;"Diemen Sniep";"Tram";"19";"19";5;"19 - Diemen Sniep";"POINT(4.969582,52.336756)";"POINT(52.336756,4.969582)";4.969582;52.336756;
22;"Dapperstraat";"Tram";"1 | 3";"01|03";5;"1 | 3 - Dapperstraat";"POINT(4.929373,52.361012)";"POINT(52.361012,4.929373)";4.929373;52.361012;
23;"Meer en Vaart";"Tram";"1 | 17";"01|17";5;"1 | 17 - Meer en Vaart";"POINT(4.810142,52.356394)";"POINT(52.356394,4.810142)";4.810142;52.356394;
24;"Derkinderenstraat";"Tram";"1 | 17";"01|17";5;"1 | 17 - Derkinderenstraat";"POINT(4.840037,52.35795)";"POINT(52.35795,4.840037)";4.840037;52.35795;
25;"Corantijnstraat";"Tram";"17";"17";5;"17 - Corantijnstraat";"POINT(4.853284,52.361465)";"POINT(52.361465,4.853284)";4.853284;52.361465;
26;"Postjesweg / Hoofdweg";"Tram";"7 - 17";"07|17";5;"7 - 17 - Postjesweg / Hoofdweg";"POINT(4.8534415,52.364238)";"POINT(52.364238,4.8534415)";4.8534415;52.364238;
