Modaliteit;Lijn;Stations_namen;WKT_stations
Metro;50;"""Isolatorweg,Station Sloterdijk,Burg. De Vlugtlaan,Jan van Galenstraat,Postjesweg,Station Lelylaan,Heemstedestraat,Henk Sneevlietweg,Amstelveenseweg,Station Zuid,Station RAI,Overamstel,Van der Madeweg,Station Duivendrecht,Strandvliet,Station Bijlmer ArenA,Bullewijk,Station Holendrecht,Reigersbos,Gein""";"""52.395175 4.850835,52.388596 4.83889,52.37883 4.837885,52.37312 4.835503,52.364859 4.833954,52.357887 4.834378,52.351498 4.834339,52.346536 4.834486,52.338387 4.857276,52.340158 4.873149,52.336999 4.890729,52.331747 4.917807,52.329671 4.930305,52.3236 4.936492,52.318417 4.941473,52.312125 4.947196,52.306793 4.952107,52.298175 4.959985,52.295612 4.974169,52.29634 4.989232"""
Metro;51;"""Centraal Station,Nieuwmarkt,Waterlooplein,Weesperplein,Wibautstraat,Amstelstation,Spaklerweg,Overamstel,Station RAI,Station Zuid,Amstelveenseweg,Henk Sneevlietweg,Heemstedestraat,Station Lelylaan,Postjesweg,Jan van Galenstraat,Burg. De Vlugtlaan,Station Sloterdijk,Isolatorweg""";"""52.37802 4.899778,52.371913 4.901306,52.367342 4.902406,52.361166 4.907983,52.354326 4.912128,52.346656 4.918302,52.340035 4.920971,52.331747 4.917807,52.336999 4.890729,52.340158 4.873149,52.338387 4.857276,52.346536 4.834486,52.351498 4.834339,52.357887 4.834378,52.364859 4.833954,52.37312 4.835503,52.37883 4.837885,52.388596 4.83889,52.395175 4.850835"""
Metro;52;"""Noord,Noorderpark,Centraal Station,Rokin,Vijzelgracht,De Pijp,Europaplein,Station Zuid""";"""52.40187 4.932234,52.388895 4.918657,52.37802 4.899778,52.369793 4.892383,52.359625 4.890948,52.352783 4.891112,52.340211 4.891992,52.340158 4.873149"""
Metro;53;"""Centraal Station,Nieuwmarkt,Waterlooplein,Weesperplein,Wibautstraat,Amstelstation,Spaklerweg,Van der Madeweg,Vensepolder,Station Diemen-Zuid,Verrijn Stuartweg,Station Ganzenhoef,Kraaiennest station,Gaasperplas""";"""52.37802 4.899778,52.371913 4.901306,52.367342 4.902406,52.361166 4.907983,52.354326 4.912128,52.346656 4.918302,52.340035 4.920971,52.329671 4.930305,52.32673 4.946234,52.330263 4.956452,52.328617 4.966764,52.323624 4.973049,52.316611 4.979459,52.311028 4.984554"""
Metro;54;"""Centraal Station,Nieuwmarkt,Waterlooplein,Weesperplein,Wibautstraat,Amstelstation,Spaklerweg,Van der Madeweg,Station Duivendrecht,Strandvliet,Station Bijlmer ArenA,Bullewijk,Station Holendrecht,Reigersbos,Gein""";"""52.37802 4.899778,52.371913 4.901306,52.367342 4.902406,52.361166 4.907983,52.354326 4.912128,52.346656 4.918302,52.340035 4.920971,52.329671 4.930305,52.3236 4.936492,52.318417 4.941473,52.312125 4.947196,52.306793 4.952107,52.298175 4.959985,52.295612 4.974169,52.29634 4.989232"""
Tram;1;"""Muiderpoortstation,Dapperstraat,Linnaeusstraat,Beukenweg,K. 's-Gravesandestraat,Weesperplein,Frederiksplein,Vijzelgracht,Spiegelgracht,Leidseplein,Eerste Constantijn Huygensstraat,J.P. Heijestraat,Rhijnvis Feithstraat,Surinameplein,Derkinderenstraat,Station Lelylaan,Johan Huizingalaan,Meer en Vaart,Louis Davidsstraat,Hoekenes,Baden Powellweg,Ecuplein,Inarisstraat,Pilatus,Matterhorn""";"""52.360931 4.932961,52.361012 4.929373,52.360011 4.9253,52.358582 4.917045,52.36248 4.914325,52.361166 4.907983,52.359517 4.898761,52.359625 4.890948,52.360882 4.887262,52.363768 4.882353,52.362745 4.875292,52.360447 4.86625,52.358961 4.860101,52.358377 4.853122,52.35795 4.840037,52.357887 4.834378,52.357809 4.82733,52.356394 4.810142,52.35389 4.808848,52.352498 4.802261,52.350978 4.794752,52.349769 4.788602,52.350331 4.783292,52.35291 4.776851,52.353738 4.77478"""
Tram;2;"""Centraal Station,Nieuwezijds Kolk,Dam,Spui,Koningsplein,Keizersgracht,Prinsengracht,Leidseplein,Rijksmuseum,Van Baerlestraat,Cornelis Schuytstraat,Valeriusplein,Amstelveenseweg,Hoofddorpplein,Westlandgracht,Delflandlaan,Heemstedestraat,Johan Huizingalaan,Louwesweg,Laan Van Vlaanderen,Kasterleepark,Oudenaardeplantsoen""";"""52.37802 4.899778,52.376064 4.893349,52.373154 4.890517,52.369254 4.889295,52.366998 4.888961,52.365956 4.886451,52.365017 4.884471,52.365017 4.884471,52.3598106 4.8835434,52.358142 4.878568,52.356011 4.870705,52.353219 4.863509,52.351503 4.856601,52.351302 4.84994,52.351577 4.845334,52.351544 4.840882,52.351498 4.834339,52.349157 4.827482,52.346687 4.824631,52.346456 4.816064,52.346353 4.810925,52.344989 4.803959"""
Tram;3;"""Zoutkeetsgracht,Haarlemmerplein,Nieuwe Willemsstraat,Marnixplein,Fredrik Hendrikplanstoen,Hugo de Grootplein,De Clercqstraat,Kinkerstraat,Eerste Constantijn Huygensstraat,Van Baerlestraat,Museumplein,Roelof Hartplein,De Pijp,Tweede Van der Helststraat,Van Woustraat,Wibautstraat,Camperstraat,Beukenweg,Linnaeusstraat,Dapperstraat,Muiderpoortstation,Molukkenstraat,Soembawastraat,Insulindeweg,Flevopark""";"""52.38806 4.885244,52.385037 4.883593,52.381491 4.881063,52.378387 4.878628,52.378535 4.875346,52.3746776 4.8727744,52.370879 4.870338,52.367239 4.872169,52.362745 4.875292,52.358142 4.878568,52.35654 4.87973,52.352851 4.88236,52.352783 4.891112,52.353248 4.894586,52.354816 4.901248,52.354816 4.901248,52.357316 4.909563,52.358349 4.913607,52.358582 4.917045,52.360011 4.9253,52.361012 4.929373,52.360931 4.932961,52.36169 4.940099,52.362206 4.943728,52.364866 4.947757,52.365165 4.951403"""
Tram;4;"""Centraal Station,Dam,Rokin,Rembrandtplein,Keizersgracht,Prinsengracht,Frederiksplein,Van Woustraat,Lutmastraat,Amstelkade,Victorieplein,Waalstraat,Maasstraat,Dintelstraat,Europaplein,Station RAI,Drenthepark""";"""52.37802 4.899778,52.373809 4.894056,52.369793 4.892383,52.366237 4.896578,52.363832 4.898301,52.362115 4.898988,52.359517 4.898761,52.354816 4.901248,52.351681 4.903214,52.349061 4.904198,52.346238 4.90491,52.344522 4.900816,52.342992 4.896595,52.341903 4.89304,52.340211 4.891992,52.336999 4.890729,52.3361459 4.8893145"""
Tram;5;"""Van Hallstraat,Van Limburg Stirumstraat,De Wittenkade,Nassaukade,Marnixplein,Bloemgracht,Rozengracht,Elandsgracht,Leidseplein,Rijksmuseum,Van Baerlestraat,Museumplein,Roelof Hartplein,Gerrit van der Veenstraat,Stadionweg,Prinses Irenestraat,Station Zuid,Parnassusweg,De Boelelaan/VU,A.J. Ernststraat,Van Boshuizenstraat,Uilenstede,Biesbosch,Oranjebaan,Amstelveen Stadshart""";"""52.38423 4.86987,52.384355 4.875046,52.383178 4.877053,52.381133 4.879194,52.378387 4.878628,52.3743328 4.8764556,52.372173 4.875889,52.3688 4.877957,52.365017 4.884471,52.3598106 4.8835434,52.358142 4.878568,52.35654 4.87973,52.352851 4.88236,52.349092 4.877281,52.34709 4.876907,52.342897 4.876776,52.340158 4.873149,52.338096 4.868701,52.3349048 4.8683894,52.331423 4.868842,52.325398 4.868971,52.321624 4.869154,52.312365 4.872233,52.308277 4.872513,52.301248 4.867284"""
Tram;6;"""Station Zuid,Parnassusweg,De Boelelaan/VU,A.J. Ernststraat,Van Boshuizenstraat,Uilenstede,Biesbosch,Oranjebaan,Amstelveen Stadshart""";"""52.340158 4.873149,52.338096 4.868701,52.3349048 4.8683894,52.331423 4.868842,52.325398 4.868971,52.321624 4.869154,52.312365 4.872233,52.308277 4.872513,52.301248 4.867284"""
Tram;7;"""Sloterpark,Burg. R√∂ellstraat,Plein `40-`45,Burg.Eliasstraat,Burg. Fockstraat,Burg. De Vlugtlaan,Bos en Lommerplein,Erasmusgracht,Jan van Galenstraat,Mercatorplein,Willem Schoutenstraat,Witte de Withstraat,J.P. Heijestraat,Ten Katestraat,Kinkerstraat,Elandsgracht,Leidseplein,Spiegelgracht,Vijzelgracht,Frederiksplein,Weesperplein,K. 's-Gravesandestraat,Alexanderplein,Hoogte Kadijk,Eerste Coehoornstraat,Eerste Leeghwaterstraat,Rietlandpark,C. van Eesterenlaan,Azartplein""";"""52.372842 4.818878,52.375688 4.819025,52.381318 4.821464,52.380564 4.826829,52.379714 4.832248,52.37883 4.837885,52.37787 4.845753,52.3762574 4.8469921,52.3732333 4.8486187,52.370032 4.850266,52.367167 4.852487,52.364718 4.859681,52.364804 4.862706,52.365968 4.867549,52.367239 4.872169,52.3688 4.877957,52.363768 4.882353,52.360882 4.887262,52.359625 4.890948,52.359517 4.898761,52.361166 4.907983,52.36248 4.914325,52.363599 4.918934,52.366765 4.924564,52.368266 4.926464,52.370251 4.929696,52.372892 4.934366,52.373499 4.93846,52.376736 4.937336"""
Tram;11;"""Centraal Station,Nieuwezijds Kolk,Dam,Spui,Koningsplein,Keizersgracht,Prinsengracht,Leidseplein,Eerste Constantijn Huygensstraat,J.P. Heijestraat,Rhijnvis Feithstraat,Surinameplein,Curaçaostraat""";"""52.37802 4.899778,52.376064 4.893349,52.373154 4.890517,52.369254 4.889295,52.366998 4.888961,52.365956 4.886451,52.365017 4.884471,52.365017 4.884471,52.362745 4.875292,52.360447 4.86625,52.358961 4.860101,52.358377 4.853122,52.3586008 4.851075"""
