STT_NAAM,AUTO,WKT_LAT_LNG,number
Ookmeerweg,plus,"52.361746 4.78355,52.361891 4.783857,52.362109 4.784353,52.362319 4.784952,52.362475 4.785478,52.362631 4.786122,52.362732 4.78662",0
Ookmeerweg,plus,"52.365663 4.801277,52.365718 4.801438,52.365764 4.801599,52.365839 4.80189",1
Spaklerweg,plus,"52.3266 4.929163,52.326108 4.929608,52.32592 4.929786",2
Ookmeerweg,plus,"52.365839 4.80189,52.365872 4.802049",3
Ookmeerweg,plus,"52.365663 4.801277,52.365692 4.801585,52.365697 4.801673,52.365788 4.802081",4
Spaklerweg,plus,"52.328024 4.927857,52.327953 4.927917",5
Spaklerweg,plus,"52.327979 4.927726,52.327907 4.9278",6
Spaklerweg,plus,"52.330856 4.925255,52.33014 4.925921",7
Spaklerweg,plus,"52.333399 4.922832,52.333227 4.922947,52.3332 4.922977,52.332806 4.923318",8
Ookmeerweg,plus,"52.362732 4.78662,52.362907 4.787513",9
Spaklerweg,plus,"52.32582 4.929669,52.325479 4.929849,52.325309 4.929909,52.32512 4.929955,52.325022 4.929971,52.324923 4.930045",10
Spaklerweg,plus,"52.327907 4.9278,52.327074 4.928571",11
Ookmeerweg,plus,"52.35936 4.78041,52.359344 4.780459,52.35933 4.780518,52.359328 4.780588,52.359338 4.780653,52.359359 4.780713,52.359384 4.780751",12
Spaklerweg,plus,"52.325354 4.930056,52.325202 4.930087,52.325049 4.930103,52.324923 4.930045",13
Ookmeerweg,plus,"52.357247 4.777343,52.357221 4.777461,52.357222 4.777637,52.357241 4.777828,52.357296 4.778018,52.357368 4.778193,52.357522 4.778441,52.357676 4.778615,52.35936 4.78041",14
Ookmeerweg,plus,"52.354457 4.771349,52.354438 4.771232",15
Spaklerweg,plus,"52.330803 4.925132,52.330146 4.925723",16
Ookmeerweg,plus,"52.366155 4.803906,52.366187 4.80419",17
Spaklerweg,plus,"52.33347 4.92294,52.333263 4.923079,52.332851 4.92345",18
Ookmeerweg,plus,"52.36326 4.789264,52.364114 4.793437",19
Spaklerweg,plus,"52.332734 4.923378,52.332313 4.923749,52.331346 4.924625,52.331194 4.924773,52.331095 4.924847,52.330952 4.924981,52.330871 4.92507,52.330803 4.925132",20
Spaklerweg,plus,"52.32592 4.929786,52.325821 4.929845,52.325624 4.92995,52.325381 4.930041,52.325354 4.930056",21
Spaklerweg,plus,"52.327074 4.928571,52.326555 4.929046",22
Ookmeerweg,plus,"52.354555 4.771259,52.354692 4.771698,52.354885 4.772444,52.355213 4.773335",23
Ookmeerweg,plus,"52.355213 4.773335,52.355404 4.77367,52.355666 4.773989,52.355802 4.774163,52.357293 4.775831,52.357375 4.775962,52.357411 4.776079,52.357439 4.77624,52.35744 4.776475,52.357423 4.776607,52.357326 4.776961,52.357247 4.777343",24
Ookmeerweg,plus,"52.354555 4.771259,52.354528 4.771157",25
Spaklerweg,plus,"52.327953 4.927917,52.327111 4.928688",26
Spaklerweg,plus,"52.324923 4.930045,52.324635 4.930004,52.324464 4.929947,52.324392 4.929919",27
Ookmeerweg,plus,"52.364567 4.795771,52.364806 4.796942",28
Ookmeerweg,plus,"52.366063 4.802959,52.366104 4.803048,52.366095 4.803195,52.366132 4.803385,52.366155 4.803906",29
Ookmeerweg,plus,"52.3528 4.768979,52.35363 4.769628,52.353992 4.770049,52.354182 4.770325,52.354345 4.770646,52.354528 4.771157",30
Ookmeerweg,plus,"52.364806 4.796942,52.365405 4.79993,52.365461 4.800223",31
Ookmeerweg,plus,"52.360197 4.781281,52.360559 4.781687,52.360875 4.782065,52.36112 4.782399,52.36141 4.782894,52.361673 4.783375,52.361746 4.78355",32
Ookmeerweg,plus,"52.364401 4.794936,52.364567 4.795771",33
Spaklerweg,plus,"52.320228 4.929272,52.320443 4.929065,52.320587 4.928946,52.320838 4.928811,52.32117 4.928676,52.321304 4.928631,52.321781 4.928567,52.321969 4.928565,52.322239 4.928592,52.322419 4.928634,52.322608 4.928705,52.322851 4.928805,52.323193 4.929022,52.323347 4.929152,52.323473 4.929254,52.323942 4.929674,52.324104 4.92979,52.324392 4.929919",34
Ookmeerweg,plus,"52.364114 4.793437,52.364178 4.793758,52.364401 4.794936",35
Ookmeerweg,plus,"52.359602 4.780664,52.360197 4.781281",36
Ookmeerweg,plus,"52.351424 4.767531,52.352466 4.768632,52.3528 4.768979",37
Spaklerweg,plus,"52.328601 4.927326,52.328024 4.927857",38
Ookmeerweg,plus,"52.362907 4.787513,52.36326 4.789264",39
Spaklerweg,plus,"52.332806 4.923318,52.332761 4.923348,52.332734 4.923378",40
Spaklerweg,plus,"52.326555 4.929046,52.326017 4.929535,52.32582 4.929669",41
Ookmeerweg,plus,"52.365788 4.802081,52.365985 4.803096",42
Ookmeerweg,plus,"52.365985 4.803096,52.366155 4.803906",43
Ookmeerweg,plus,"52.354438 4.771232,52.354274 4.770779,52.353984 4.770313,52.353568 4.769849,52.353207 4.769473,52.3528 4.768979",44
Ookmeerweg,plus,"52.365461 4.800223,52.365663 4.801277",45
Spaklerweg,plus,"52.332851 4.92345,52.33278 4.923524",46
Spaklerweg,plus,"52.33014 4.925921,52.328601 4.927326",47
Spaklerweg,plus,"52.33278 4.923524,52.331239 4.924919,52.331141 4.924994,52.330856 4.925255",48
Ookmeerweg,plus,"52.359602 4.780664,52.359614 4.780604,52.359614 4.78054,52.359605 4.780475,52.359593 4.780425,52.359563 4.780365",49
Ookmeerweg,plus,"52.365872 4.802049,52.366063 4.802959",50
Ookmeerweg,plus,"52.355213 4.773335,52.355033 4.773161,52.354778 4.772636,52.354623 4.772139,52.354457 4.771349",51
Spaklerweg,plus,"52.330146 4.925723,52.327979 4.927726",52
Spaklerweg,plus,"52.327111 4.928688,52.3266 4.929163",53
0485 BRUG,plus,"52.3774400 4.9119570,52.3775490 4.9103680",54
Louis Davidsstraat,plus,"52.350765 4.810999,52.350783 4.810984,52.35081 4.810983,52.350864 4.811012,52.350891 4.811041,52.350918 4.811114",55
Noordzijde,plus,"52.37097 4.829987,52.370827 4.830121,52.370693 4.830284,52.370576 4.830418",56
Noordzijde,plus,"52.37097 4.829987,52.370925 4.830105,52.37089 4.830282,52.370873 4.830429,52.370874 4.83059",57
Noordzijde,plus,"52.373373 4.826829,52.373283 4.826845,52.37322 4.826904,52.372702 4.827601,52.371827 4.828802,52.37097 4.829987",58
Foeliestraat,plus,"52.370503 4.908952,52.370813 4.909463",59
Foeliestraat,plus,"52.370813 4.909463,52.371419 4.91038,52.371478 4.910455,52.371603 4.910547",60
Foeliestraat,plus,"52.371726 4.910636,52.371825 4.910738",61
Foeliestraat,plus,"52.371603 4.910547,52.371726 4.910636",62
Foeliestraat,plus,"52.371825 4.910738,52.372087 4.911044,52.372348 4.911261",63
Rijnstraat,plus,"52.340373 4.907386,52.340275 4.907559",64
Foeliestraat,plus,"52.372348 4.911261,52.372718 4.911565,52.373322 4.912043",65
Rijnstraat,plus,"52.340395 4.907566,52.340299 4.907678",66
Burgemeester Stramanweg,plus,"52.307354 4.925783,52.307448 4.925954",67
Loosdrechtdreef,plus,"52.311578 4.985041,52.312225 4.987528,52.31276 4.989077",68
Burgemeester Stramanweg,plus,"52.309535 4.929808,52.310349 4.931736,52.31058 4.932158",69
Burgemeester Stramanweg,plus,"52.309588 4.929587,52.30967 4.929762",70
Burg Rendorpstraat,plus,"52.374102 4.827158,52.374228 4.827215,52.374309 4.827258",71
Hessenbergweg,plus,"52.304275 4.94451,52.304161 4.944221,52.303956 4.943531",72
Hessenbergweg,plus,"52.304275 4.94451,52.304966 4.946581",73
BERLAGEBRUG 0423,hoofd,"52.347203 4.911692,52.347471 4.913523",74
RYKSWG,plus,"52.331392 4.912899,52.331183 4.912934,52.330487 4.913034",75
Hessenbergweg,plus,"52.303832 4.943641,52.303786 4.943467",76
Hessenbergweg,plus,"52.303956 4.943531,52.303905 4.943363",77
Burgemeester Stramanweg,plus,"52.307448 4.925954,52.307985 4.926799,52.308192 4.927147,52.308596 4.927855,52.308864 4.928347,52.309074 4.928764,52.309535 4.929808",78
Loosdrechtdreef,plus,"52.312833 4.989282,52.312869 4.989384,52.31325 4.990554,52.31335 4.990817,52.313468 4.99108,52.313612 4.991284,52.313739 4.991488,52.314154 4.991968,52.314641 4.992565,52.314948 4.993032,52.315102 4.993324,52.315211 4.993557,52.315274 4.993806,52.315366 4.994201,52.315412 4.994568,52.315423 4.995198,52.315397 4.995477",79
Burgemeester Stramanweg,plus,"52.307443 4.92565,52.307551 4.925796",80
Burg Rendorpstraat,plus,"52.374309 4.827258,52.374408 4.827301,52.374489 4.827329",81
Burgemeester Stramanweg,plus,"52.30967 4.929762,52.310278 4.931222,52.310713 4.932142,52.31139 4.933403",82
Burg Rendorpstraat,plus,"52.373373 4.826829,52.373499 4.826857,52.373661 4.826943,52.374102 4.827158",83
Hessenbergweg,plus,"52.304198 4.94458,52.304276 4.944783,52.304822 4.946351,52.30488 4.946658",84
Loosdrechtdreef,plus,"52.31276 4.989077,52.312796 4.989194,52.312833 4.989282",85
RYKSWG,plus,"52.331213 4.912695,52.330275 4.912826,52.330131 4.912857,52.329404 4.912953,52.328294 4.913158",86
Hessenbergweg,plus,"52.304198 4.94458,52.304123 4.944434,52.303832 4.943641",87
RYKSWG,plus,"52.328294 4.913158,52.327769 4.913249,52.326502 4.913453,52.32635 4.91347,52.326206 4.9135,52.324382 4.913826",88
Burgemeester Stramanweg,plus,"52.307551 4.925796,52.308165 4.9268,52.308774 4.927874,52.308874 4.928046,52.309075 4.92844,52.309352 4.929032,52.309588 4.929587",89
Nieuwe Leeuwarderweg,plus,"52.389912 4.919931,52.389244 4.918802,52.387592 4.915963",90
Antony Moddermanstraat,plus,"52.383166 4.818613,52.383138 4.818789,52.383159 4.81895",91
Nieuwe Leeuwarderweg,plus,"52.389912 4.919931,52.390015 4.920115,52.39019 4.920374,52.390406 4.920664,52.390663 4.920976,52.390907 4.921234,52.391187 4.921494,52.391432 4.9217,52.391956 4.922063",92
Nieuwe Leeuwarderweg,plus,"52.389487 4.920019,52.389759 4.920388,52.389827 4.920475,52.390197 4.920915,52.390585 4.921331,52.390954 4.921681,52.391355 4.922013,52.391485 4.922107",93
Hoogoorddreef,hoofd,"52.310842 4.947407,52.311042 4.947975,52.311233 4.948531,52.31136 4.948881,52.311396 4.948998",94
Nieuwe Leeuwarderweg,plus,"52.408924 4.940786,52.409046 4.940737,52.4096 4.941224,52.410466 4.941937,52.412004 4.943228,52.412621 4.943773",95
Nieuwe Leeuwarderweg,plus,"52.398867 4.928518,52.399509 4.929395,52.399972 4.930014",96
Nieuwe Leeuwarderweg,plus,"52.403289 4.934513,52.40466 4.936297",97
Stationsplein,hoofd,"52.378189 4.905036,52.378278 4.905078",98
Nieuwe Leeuwarderweg,plus,"52.391485 4.922107,52.392081 4.922548,52.393248 4.923292,52.39399 4.923782,52.395212 4.924678",99
Hoogoorddreef,hoofd,"52.309586 4.94358,52.310842 4.947407",100
Nieuwe Leeuwarderweg,plus,"52.406652 4.938535,52.407763 4.939813,52.408796 4.940838,52.408924 4.940786",101
Hoogoorddreef,hoofd,"52.311301 4.949093,52.311619 4.95004,52.311735 4.95037,52.311833 4.950402",102
Nieuwe Leeuwarderweg,plus,"52.39529 4.924334,52.396474 4.925383,52.397298 4.926231,52.397709 4.926694,52.398138 4.927196,52.398588 4.927756,52.39903 4.928323,52.399106 4.928406",103
Nieuwe Leeuwarderweg,plus,"52.384661 4.911501,52.384888 4.91173,52.385128 4.911999,52.385303 4.912224,52.38543 4.912407,52.38568 4.91281,52.385987 4.913356,52.386302 4.913942,52.386888 4.915086,52.387459 4.916264,52.387643 4.916635,52.388066 4.917531,52.388827 4.919052,52.389487 4.920019",104
Hoogoorddreef,hoofd,"52.311878 4.950504,52.31256 4.952521,52.312896 4.9535,52.31325 4.954567,52.314113 4.957037",105
Nieuwe Leeuwarderweg,plus,"52.40675 4.938255,52.407277 4.938927,52.40801 4.939741,52.408874 4.940588,52.408924 4.940786",106
Nieuwe Leeuwarderweg,plus,"52.399106 4.928406,52.39962 4.929112,52.400037 4.92957,52.400482 4.930111,52.402506 4.932677,52.403904 4.934376",107
Nieuwe Leeuwarderweg,plus,"52.403904 4.934376,52.404177 4.934709,52.40487 4.935583,52.404982 4.935709",108
