,pand_id,road_ids
0,363100012236021.0,[]
1,363100012159916.0,[]
2,363100012160348.0,[]
3,363100012152835.0,[]
4,363100012160950.0,[]
5,363100012156395.0,[]
6,363100012152525.0,[]
7,363100012167184.0,[]
8,363100012162326.0,[]
9,363100012152308.0,[]
10,363100012152411.0,[]
11,363100012164889.0,[]
12,363100012236558.0,[]
13,363100012236229.0,[]
14,363100012236129.0,[]
15,363100012125963.0,[]
16,363100012143801.0,[]
17,363100012079509.0,[]
18,363100012066791.0,[]
19,363100012128865.0,[]
20,363100012061854.0,[]
21,363100012241772.0,[]
22,363100012241766.0,[]
23,363100012241767.0,[]
24,363100012241768.0,[]
25,363100012241769.0,[]
26,363100012241770.0,[]
27,363100012241771.0,[]
28,363100012247344.0,[]
29,363100012164538.0,"[[[52.356103, 4.907166], [52.355655, 4.907366], [52.355596, 4.907421], [52.355588, 4.907477]], [[52.355588, 4.907477], [52.355534, 4.907384], [52.355017, 4.907651]], [[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
30,363100012064223.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
31,363100012236444.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
32,363100012143743.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
33,363100012237393.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
34,363100012067428.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
35,363100012092631.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
36,363100012236800.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
37,363100012241549.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
38,363100012107253.0,[]
39,363100012158582.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
40,363100012164447.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
41,363100012159574.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
42,363100012165156.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
43,363100012156084.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
44,363100012162242.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
45,363100012164320.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
46,363100012153766.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
47,363100012167335.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
48,363100012236182.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
49,363100012160164.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
50,363100012156341.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
51,363100012165506.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
52,363100012156611.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
53,363100012237348.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
54,363100012153579.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
55,363100012233603.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
56,363100012063882.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
57,363100012092761.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
58,363100012132728.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
59,363100012095804.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
60,363100012140373.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
61,363100012164488.0,"[[[52.355588, 4.907477], [52.355588, 4.907551], [52.356153, 4.909877]]]"
62,363100012129127.0,"[[[52.356352, 4.910742], [52.356157, 4.910887], [52.355852, 4.911082], [52.35544, 4.911328]]]"
