number,modaliteit,lijn,station1,coords_s1,station2,coords_s2,lijn_coordinaten
0,Metro,50,Isolatorweg,52.395175 4.850835,Station Sloterdijk,52.388596 4.83889,"52.388603 4.838885,52.389035 4.838877,52.39054 4.838871,52.391084 4.838902,52.391469 4.838965,52.391807 4.83907,52.392017 4.839163,52.39232 4.839331,52.392633 4.839566,52.392854 4.839768,52.393032 4.839943,52.393227 4.840171,52.393416 4.840411,52.393571 4.840642,52.393788 4.840997,52.394018 4.841407,52.394217 4.841762,52.394455 4.842188,52.394637 4.842553,52.394774 4.842868,52.394905 4.843239,52.395005 4.843592,52.395069 4.843899,52.395122 4.844215,52.395165 4.844591,52.395184 4.844979,52.395193 4.845625,52.395193 4.846872,52.3952 4.848515,52.395182 4.85083"
1,Metro,50,Station Sloterdijk,52.388596 4.83889,Burg. De Vlugtlaan,52.37883 4.837885,"52.378837 4.83788,52.379739 4.838265,52.380652 4.838611,52.38125 4.838833,52.381682 4.839015,52.382267 4.839256,52.382758 4.839455,52.383057 4.839569,52.383291 4.839641,52.383504 4.839682,52.383795 4.839712,52.383946 4.839717,52.384159 4.839705,52.384368 4.83969,52.384544 4.83966,52.384725 4.839611,52.384983 4.839533,52.385632 4.83932,52.386179 4.839152,52.386847 4.839022,52.38741 4.838953,52.388098 4.838895,52.388603 4.838885"
2,Metro,50,Burg. De Vlugtlaan,52.37883 4.837885,Jan van Galenstraat,52.37312 4.835503,"52.373127 4.835498,52.373318 4.835577,52.373914 4.835796,52.374271 4.835919,52.374836 4.836148,52.375263 4.836329,52.37576 4.836534,52.376457 4.836827,52.37692 4.837023,52.377351 4.837198,52.377756 4.837373,52.378288 4.837624,52.378837 4.83788"
3,Metro,50,Jan van Galenstraat,52.37312 4.835503,Postjesweg,52.364859 4.833954,"52.364866 4.833949,52.365988 4.833954,52.366526 4.833959,52.366889 4.83397,52.367228 4.833994,52.367521 4.834028,52.367937 4.834078,52.368327 4.834145,52.368725 4.834208,52.369189 4.834293,52.369668 4.834377,52.370458 4.834516,52.370932 4.834631,52.37141 4.834796,52.371873 4.834967,52.372219 4.835115,52.372711 4.835327,52.373127 4.835498"
4,Metro,50,Postjesweg,52.364859 4.833954,Station Lelylaan,52.357887 4.834378,"52.357894 4.834373, 52.357914 4.834374,52.35867 4.834309,52.35924 4.834233,52.360099 4.834142,52.361091 4.834061,52.36211 4.834027,52.363406 4.833983,52.364433 4.833951,52.364866 4.833949"
5,Metro,50,Station Lelylaan,52.357887 4.834378,Heemstedestraat,52.351498 4.834339,"52.351505 4.834334, 52.352819 4.834304,52.353535 4.834245,52.354214 4.834224,52.355317 4.83427,52.356336 4.834316,52.357503 4.834363,52.357894 4.834373"
6,Metro,50,Heemstedestraat,52.351498 4.834339,Henk Sneevlietweg,52.346536 4.834486,"52.346543 4.834481,52.347405 4.834418,52.348045 4.834372,52.348943 4.834346,52.350323 4.834313,52.35079 4.834326,52.351505 4.834334"
7,Metro,50,Henk Sneevlietweg,52.346536 4.834486,Amstelveenseweg,52.338387 4.857276,"52.338394 4.857271, 52.338315 4.855918,52.338219 4.854715,52.338137 4.853384,52.338034 4.851319,52.337972 4.849401,52.337936 4.848592,52.337882 4.847519,52.337815 4.846278,52.337761 4.845143,52.337749 4.844609,52.337761 4.844013,52.337791 4.843482,52.337847 4.842839,52.337986 4.84167,52.338206 4.840289,52.338437 4.839262,52.338649 4.838527,52.338924 4.837754,52.339196 4.837186,52.339467 4.836704,52.339731 4.836329,52.339938 4.836087,52.340138 4.835874,52.340346 4.835676,52.340651 4.835439,52.340926 4.835265,52.341148 4.835147,52.341381 4.835051,52.341645 4.834964,52.341896 4.834905,52.342181 4.834849,52.342686 4.834777,52.343762 4.834631,52.344736 4.834541,52.345827 4.834502,52.346543 4.834481"
8,Metro,50,Amstelveenseweg,52.338387 4.857276,Station Zuid,52.339117 4.872532,"52.339117 4.872532,52.338935 4.868903,52.338798 4.865211,52.338616 4.861054,52.338414 4.857624,52.338394 4.857271"
9,Metro,50,Station Zuid,52.339117 4.872532,Station RAI,52.336999 4.890729,"52.336999 4.890729, 52.337006 4.890724,52.337688 4.889387,52.338102 4.888501,52.33857 4.88726,52.338657 4.886988,52.339098 4.885127,52.339291 4.883872,52.339391 4.882954,52.339426 4.88156,52.339397 4.879945,52.339279 4.876667,52.33919 4.874399,52.339117 4.872532"
10,Metro,50,Station RAI,52.336999 4.890729,Overamstel,52.331747 4.917807,"52.331754 4.917802,52.331196 4.915961,52.331082 4.915582,52.330968 4.91516,52.330867 4.91479,52.330791 4.914468,52.33072 4.914137,52.330677 4.913897,52.330635 4.913605,52.330577 4.913143,52.330472 4.912148,52.330363 4.911106,52.33019 4.909392,52.33009 4.908437,52.329982 4.907373,52.32995 4.906946,52.329933 4.906636,52.329932 4.906322,52.329947 4.906016,52.32999 4.90557,52.330035 4.905251,52.330108 4.904918,52.330184 4.904634,52.330277 4.904318,52.330406 4.903972,52.33061 4.903481,52.331037 4.902524,52.331819 4.90087,52.332374 4.899733,52.333331 4.897788,52.333779 4.896867,52.334477 4.895462,52.33483 4.894794,52.336216 4.892268, 52.336999 4.890729"
11,Metro,50,Overamstel,52.331747 4.917807,Van der Madeweg,52.329671 4.930305,"52.329678 4.9303, 52.330355 4.929686,52.330912 4.929177,52.331381 4.928727,52.331695 4.928418,52.332012 4.928058,52.33236 4.927739,52.3329 4.927231,52.33321 4.926568,52.333374 4.926074,52.333466 4.92567, 52.333547 4.925161, 52.333582 4.924708, 52.333578 4.924313, 52.333531 4.923885, 52.333471 4.923492, 52.333398 4.923187, 52.333246 4.922642, 52.333001 4.921938,52.332773 4.921275,52.332475 4.9203,52.332226 4.919395,52.331754 4.917802"
12,Metro,50,Van der Madeweg,52.329671 4.930305,Station Duivendrecht,52.3236 4.936492,"52.323607 4.936487,52.324408 4.935627,52.324915 4.935092,52.32521 4.934736,52.325616 4.934285,52.326078 4.933788,52.326706 4.933119,52.327116 4.932706,52.327554 4.932295,52.328416 4.931454,52.329216 4.930729,52.329678 4.9303"
13,Metro,50,Station Duivendrecht,52.3236 4.936492,Strandvliet,52.318417 4.941473,"52.318424 4.941468,52.320046 4.939984,52.321298 4.938835,52.321808 4.938347,52.322263 4.937895,52.322655 4.937493,52.323181 4.936938,52.323607 4.936487"
14,Metro,50,Strandvliet,52.318417 4.941473,Station Bijlmer ArenA,52.312125 4.947196,"52.312132 4.947191,52.313498 4.945922,52.314867 4.944683,52.316057 4.943625,52.317097 4.942674,52.318424 4.941468"
15,Metro,50,Station Bijlmer ArenA,52.312125 4.947196,Bullewijk,52.306793 4.952107,"52.3068 4.952102, 52.307912 4.951084,52.309043 4.950046,52.310196 4.948969,52.311697 4.947586,52.312132 4.947191"
16,Metro,50,Bullewijk,52.306793 4.952107,Station Holendrecht,52.298175 4.959985,"52.298182 4.95998, 52.299351 4.958916,52.300238 4.958104,52.301042 4.95737,52.301734 4.956721,52.302719 4.95583,52.303492 4.955112,52.304407 4.954273,52.305393 4.953384,52.306514 4.952366,52.3068 4.952102"
17,Metro,50,Station Holendrecht,52.298175 4.959985,Reigersbos,52.295612 4.974169,"52.295619 4.974164, 52.295097 4.971132,52.294918 4.970193,52.294704 4.968976,52.294436 4.96738,52.294348 4.966725,52.294318 4.966273,52.294327 4.965735,52.294358 4.965327,52.294405 4.964955,52.29447 4.96461,52.294551 4.964275,52.294638 4.963982,52.294747 4.963681,52.29486 4.963412,52.294991 4.963146,52.295126 4.962906,52.295311 4.962629,52.295508 4.962394,52.295715 4.962175,52.295903 4.962003,52.296369 4.961601,52.296713 4.961307,52.29715 4.960922,52.297765 4.96036,52.298182 4.95998"
18,Metro,50,Reigersbos,52.295612 4.974169,Gein,52.29634 4.989232,"52.296347 4.989227,52.29633 4.985579,52.296313 4.980056,52.296306 4.979448,52.296277 4.978828,52.296237 4.978235,52.296147 4.977398,52.296009 4.97648,52.295619 4.974164"
19,Metro,51,Centraal Station,52.37802 4.899778,Nieuwmarkt,52.371913 4.901306,"52.37192 4.901301,52.372166 4.901467,52.372421 4.901697,52.372712 4.90201,52.373055 4.902455,52.373257 4.902702,52.373477 4.90294,52.373634 4.903082,52.373823 4.903228,52.373978 4.903326,52.374148 4.903409,52.37432 4.903474,52.374548 4.903537,52.374733 4.903561,52.374886 4.90357,52.375042 4.903557,52.375227 4.903524,52.375376 4.903482,52.37559 4.903397,52.375766 4.903302,52.375904 4.90321,52.376111 4.903036,52.376284 4.902865,52.376428 4.902703,52.376657 4.902394,52.376901 4.902024,52.377075 4.901705,52.377509 4.900793,52.377763 4.900214"
20,Metro,51,Nieuwmarkt,52.371913 4.901306,Waterlooplein,52.367342 4.902406,"52.367349 4.902401,52.367469 4.90219,52.367726 4.901769,52.367911 4.901492,52.36804 4.901322,52.368248 4.901096,52.368429 4.900925,52.368656 4.900749,52.368921 4.900581,52.369149 4.900486,52.36936 4.900416,52.369567 4.900384,52.369839 4.90036,52.370025 4.900383,52.370248 4.900436,52.370452 4.900514,52.370779 4.900675,52.37192 4.901301"
21,Metro,51,Waterlooplein,52.367342 4.902406,Weesperplein,52.361166 4.907983,"52.361173 4.907978,52.361406 4.90783,52.362307 4.907256,52.362855 4.90695,52.363202 4.906741,52.363967 4.906298,52.364727 4.905882,52.364961 4.90574,52.365277 4.905529,52.365464 4.905381,52.365612 4.905253,52.365759 4.905101,52.365887 4.904959,52.366034 4.904763,52.366182 4.904545,52.366335 4.904284,52.366562 4.903871,52.366762 4.903506,52.367005 4.903052,52.367349 4.902401"
22,Metro,51,Weesperplein,52.361166 4.907983,Wibautstraat,52.354326 4.912128,"52.354333 4.912123,52.354997 4.911719,52.355608 4.911349,52.356165 4.911016,52.356741 4.91067,52.357345 4.91031,52.357947 4.909947,52.35851 4.909607,52.359192 4.909196,52.35976 4.908856,52.360386 4.908474,52.360975 4.908102,52.361173 4.907978"
23,Metro,51,Wibautstraat,52.354326 4.912128,Amstelstation,52.346656 4.918302,"52.34648 4.917551,52.347289 4.917046,52.347728 4.916788,52.348076 4.916567,52.348547 4.916281,52.348694 4.916173,52.348826 4.916077,52.34904 4.915889,52.349196 4.915741,52.349443 4.9155,52.349897 4.915056,52.35029 4.914674,52.350643 4.91433,52.350833 4.914155,52.35108 4.913951,52.351285 4.913795,52.351521 4.913638,52.351718 4.913516,52.351888 4.913425,52.352167 4.913289,52.352436 4.91317,52.352712 4.913045,52.353125 4.912838,52.353376 4.912698,52.353759 4.91247,52.354333 4.912123"
24,Metro,51,Amstelstation,52.346656 4.918302,Spaklerweg,52.340035 4.920971,"52.340042 4.920966,52.341015 4.920333,52.341928 4.91982,52.342788 4.919359,52.34323 4.919139,52.343552 4.919005,52.34395 4.918887,52.344364 4.91876,52.344663 4.91863,52.344945 4.918479,52.345543 4.918114,52.346181 4.917727,52.34648 4.917551"
