OBJECTNUMMER;STT_NAAM;WVK_ID;RIJRICHTINGEN;VOET;FIETS;TRAM;BUS;AUTO;BREED_VERVOER;MAX_SNELHEID;LINKNR;WPSNAAMNEN;GME_NAAM;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Olympiadelaan";241361019;0;"";"PLUS_BGG";"";"";"";"";50;40;"AMSTELVEEN";"Amstelveen";"LINESTRING(4.881426 52.311732,4.88145 52.311298)";"LINESTRING(52.311732 4.881426,52.311298 4.88145)";4.881443;52.311508;
2;"Olympiadelaan";241360006;0;"";"PLUS_BGG";"";"";"";"";50;138;"AMSTELVEEN";"Amstelveen";"LINESTRING(4.881554 52.30933,4.88159 52.308665)";"LINESTRING(52.30933 4.881554,52.308665 4.88159)";4.881577;52.3089905;
3;"Olympiadelaan";241360007;0;"";"PLUS_BGG";"";"";"";"";50;273;"AMSTELVEEN";"Amstelveen";"LINESTRING(4.881532 52.309986,4.881554 52.30933)";"LINESTRING(52.309986 4.881532,52.30933 4.881554)";4.881548;52.309651;
4;"Olympiadelaan";241359005;0;"";"PLUS_BGG";"";"";"";"";50;310;"AMSTELVEEN";"Amstelveen";"LINESTRING(4.881726 52.305444,4.88171 52.306083)";"LINESTRING(52.305444 4.881726,52.306083 4.88171)";4.881723;52.3057565;
5;"Burg Amersfoordtlaan";228367040;0;"";"PLUS_BGG";"";"";"";"";50;333;"BADHOEVEDORP";"Haarlemmermeer";"LINESTRING(4.786473 52.338815,4.787746 52.339091,4.787951 52.339146)";"LINESTRING(52.338815 4.786473,52.339091 4.787746,52.339146 4.787951)";4.787217;52.3389735;
6;"Olympiadelaan";241360009;0;"";"PLUS_BGG";"";"";"";"";50;389;"AMSTELVEEN";"Amstelveen";"LINESTRING(4.881512 52.31047,4.881532 52.309986)";"LINESTRING(52.31047 4.881512,52.309986 4.881532)";4.881527;52.310221;
7;"Burg Amersfoordtlaan";227366043;0;"";"PLUS_BGG";"";"";"";"";50;426;"BADHOEVEDORP";"Haarlemmermeer";"LINESTRING(4.780724 52.33759,4.781121 52.337476,4.781386 52.337432,4.781665 52.337416,4.781914 52.337417,4.782105 52.337445)";"LINESTRING(52.33759 4.780724,52.337476 4.781121,52.337432 4.781386,52.337416 4.781665,52.337417 4.781914,52.337445 4.782105)";4.7814195;52.337496;
8;"LOEVESTEINSEDWARSWEG";229363030;0;"";"PLUS_BGG";"";"";"";"";60;452;"SCHIPHOL";"Haarlemmermeer";"LINESTRING(4.796848 52.32087,4.796925 52.320941)";"LINESTRING(52.32087 4.796848,52.320941 4.796925)";4.7968915;52.3208985;
9;"Olympiadelaan";241359007;0;"";"PLUS_BGG";"";"";"";"";50;561;"AMSTELVEEN";"Amstelveen";"LINESTRING(4.881687 52.304075,4.881709 52.304714)";"LINESTRING(52.304075 4.881687,52.304714 4.881709)";4.881703;52.3043875;
10;"Burg Amersfoordtlaan";228367042;0;"";"PLUS_BGG";"";"";"";"";50;619;"BADHOEVEDORP";"Haarlemmermeer";"LINESTRING(4.790438 52.340821,4.790744 52.34094,4.79094 52.340989,4.791094 52.340993)";"LINESTRING(52.340821 4.790438,52.34094 4.790744,52.340989 4.79094,52.340993 4.791094)";4.790771;52.3409;
