,STT_NAAM,MAX_SNELHEID,WKT_LAT_LNG
289,Stadionweg,30,"52.345749 4.861651,52.345674 4.861677"
403,Amstelveenseweg,0,"52.321578 4.857431,52.321655 4.857436"
837,Kinkerstraat,50,"52.367284 4.872143,52.367589 4.873223"
841,Kinkerstraat,50,"52.364767 4.862686,52.365156 4.864298"
845,Kinkerstraat,50,"52.367206 4.872139,52.367243 4.872274"
853,Kinkerstraat,50,"52.364397 4.860813,52.364439 4.861007,52.364826 4.862556"
857,Kinkerstraat,50,"52.367518 4.87327,52.367672 4.873824"
890,Kinkerstraat,50,"52.365496 4.865531,52.365981 4.867512"
894,Kinkerstraat,50,"52.36774 4.873774,52.368006 4.874795"
918,Kinkerstraat,50,"52.367955 4.874828,52.368123 4.875464,52.368336 4.876312"
925,Kinkerstraat,50,"52.366442 4.869454,52.366734 4.87054"
944,Kinkerstraat,50,"52.364397 4.860813,52.364371 4.861077,52.36439 4.86118,52.364767 4.862686"
951,Kinkerstraat,50,"52.367243 4.872274,52.367518 4.87327"
963,Kinkerstraat,50,"52.36649 4.869422,52.366788 4.870501"
969,Kinkerstraat,50,"52.367589 4.873223,52.36774 4.873774"
975,Kinkerstraat,50,"52.365938 4.867541,52.366057 4.868024,52.366442 4.869454"
976,Kinkerstraat,50,"52.366905 4.871112,52.367206 4.872139"
977,Kinkerstraat,50,"52.365461 4.865582,52.365938 4.867541"
982,Kinkerstraat,50,"52.366957 4.871082,52.367176 4.871764,52.367284 4.872143"
1008,Kinkerstraat,50,"52.367672 4.873824,52.367955 4.874828"
1014,Kinkerstraat,50,"52.365981 4.867512,52.366 4.867591,52.366274 4.868631,52.36649 4.869422"
1019,Kinkerstraat,50,"52.366734 4.87054,52.366905 4.871112"
1020,Kinkerstraat,50,"52.368006 4.874795,52.368392 4.876225"
1037,Kinkerstraat,50,"52.365156 4.864298,52.365461 4.865582"
1057,Kinkerstraat,50,"52.364826 4.862556,52.364872 4.862742"
1072,Kinkerstraat,50,"52.364539 4.860326,52.364441 4.860621,52.364397 4.860783,52.364397 4.860813"
1073,Kinkerstraat,50,"52.364872 4.862742,52.365496 4.865531"
1087,Kinkerstraat,50,"52.366788 4.870501,52.366957 4.871082"
1221,Rozengracht,50,"52.372255 4.875844,52.372382 4.87621,52.372419 4.876371,52.372465 4.876546"
1236,Rozengracht,50,"52.372465 4.876546,52.372573 4.877136,52.372594 4.877441"
1243,Rozengracht,50,"52.371826 4.874047,52.372026 4.874804,52.372188 4.875542"
1250,Roelof Hartstraat,50,"52.352723 4.882656,52.352603 4.882969,52.352452 4.88344,52.352383 4.883752,52.352329 4.884125,52.352277 4.884732,52.352238 4.885459,52.352207 4.885841,52.352165 4.886065"
1273,Rozengracht,50,"52.372188 4.875542,52.372255 4.875844"
1291,Rozengracht,50,"52.37174 4.874085,52.371782 4.874249,52.371903 4.874835"
1293,Rozengracht,50,"52.372117 4.875787,52.372284 4.876468"
1299,Roelof Hartstraat,50,"52.352357 4.885198,52.352387 4.884687,52.352406 4.884428,52.352433 4.884205,52.352467 4.884001,52.352529 4.883733,52.352583 4.883527,52.352937 4.882541"
1304,Rozengracht,50,"52.372594 4.877441,52.372832 4.878407"
1327,Rozengracht,50,"52.373986 4.882792,52.373739 4.88179"
1333,Rozengracht,50,"52.373645 4.88185,52.373866 4.88278"
1334,Rozengracht,50,"52.373216 4.879959,52.37328 4.880208"
1335,Rozengracht,50,"52.371903 4.874835,52.371938 4.874973,52.372076 4.875621"
1347,Rozengracht,50,"52.372832 4.878407,52.373216 4.879959"
1367,Rozengracht,50,"52.372076 4.875621,52.372117 4.875787"
1395,Rozengracht,50,"52.37328 4.880208,52.373285 4.880409,52.373645 4.88185"
1415,Rozengracht,50,"52.37328 4.880208,52.373361 4.880363,52.373739 4.88179"
1421,Rozengracht,50,"52.372284 4.876468,52.372473 4.877168,52.372594 4.877441"
1431,Roelof Hartstraat,50,"52.352357 4.885198,52.352317 4.885879,52.352309 4.886095"
1444,Nieuwe Leeuwarderweg,50,"52.389912 4.919931,52.389244 4.918802,52.387592 4.915963"
1448,Nieuwe Leeuwarderweg,50,"52.402686 4.935002,52.402643 4.934977,52.402069 4.934244,52.401969 4.934193"
1459,Nieuwe Leeuwarderweg,50,"52.389571 4.918935,52.38969 4.919141,52.390092 4.919631,52.390389 4.919954,52.390883 4.920298,52.39096 4.920372,52.391002 4.920555,52.390987 4.920705,52.390927 4.920831,52.39083 4.920939,52.390687 4.920916,52.390334 4.920462,52.389984 4.919968,52.389912 4.919931"
1475,Nieuwe Leeuwarderweg,70,"52.391485 4.922107,52.391399 4.922133,52.391036 4.921887,52.390532 4.921558,52.390426 4.921516,52.390312 4.921513,52.390247 4.92153,52.390195 4.921557,52.390066 4.921655,52.38997 4.921712,52.389892 4.921732,52.389814 4.921717,52.389755 4.921694,52.389673 4.921603,52.389599 4.921465,52.389139 4.92039,52.389099 4.920187"
1477,Nieuwe Leeuwarderweg,80,"52.389912 4.919931,52.390015 4.920115,52.39019 4.920374,52.390406 4.920664,52.390663 4.920976,52.390907 4.921234,52.391187 4.921494,52.391432 4.9217,52.391956 4.922063"
1479,Nieuwe Leeuwarderweg,50,"52.389487 4.920019,52.389759 4.920388,52.389827 4.920475,52.390197 4.920915,52.390585 4.921331,52.390954 4.921681,52.391355 4.922013,52.391485 4.922107"
1490,Nieuwe Leeuwarderweg,70,"52.404292 4.933379,52.40437 4.933486,52.404495 4.933639,52.404548 4.933726,52.404607 4.933893,52.404629 4.934053,52.404632 4.934181,52.404621 4.934284,52.404575 4.934506,52.40456 4.934674,52.40457 4.93485,52.40461 4.935016,52.404651 4.935115,52.404719 4.93525,52.404814 4.9354,52.404959 4.935593,52.404982 4.935709"
1496,Nieuwe Leeuwarderweg,80,"52.408924 4.940786,52.409046 4.940737,52.4096 4.941224,52.410466 4.941937,52.412004 4.943228,52.412621 4.943773"
1511,Nieuwe Leeuwarderweg,50,"52.401969 4.934193,52.40204 4.934325,52.403112 4.93572,52.403275 4.935915,52.403373 4.936004,52.403469 4.936047,52.403555 4.936062,52.403646 4.936048,52.403874 4.935958,52.404064 4.935907,52.404188 4.935939,52.404311 4.936042,52.404546 4.936321,52.40466 4.936297"
1516,Nieuwe Leeuwarderweg,80,"52.398867 4.928518,52.399509 4.929395,52.399972 4.930014"
1517,Nieuwe Leeuwarderweg,50,"52.389571 4.918935,52.389745 4.919023,52.390098 4.919509,52.390277 4.91972,52.390424 4.919865,52.390938 4.920218,52.39104 4.920318,52.391098 4.920416,52.391141 4.920561,52.391149 4.920704,52.391146 4.920942,52.391153 4.921074,52.391165 4.921146,52.391201 4.921269,52.391273 4.921429,52.391348 4.921534,52.391465 4.921645,52.391932 4.921976,52.391956 4.922063"
1523,Nieuwe Leeuwarderweg,70,"52.403289 4.934513,52.40466 4.936297"
1532,Nieuwe Leeuwarderweg,70,"52.391485 4.922107,52.392081 4.922548,52.393248 4.923292,52.39399 4.923782,52.395212 4.924678"
1546,Nieuwe Leeuwarderweg,70,"52.406652 4.938535,52.407763 4.939813,52.408796 4.940838,52.408924 4.940786"
1547,Nieuwe Leeuwarderweg,50,"52.403071 4.931937,52.403117 4.932048,52.404428 4.933732,52.4045 4.93388,52.404527 4.93401,52.404535 4.934153,52.404518 4.934316,52.404475 4.934447,52.404417 4.934545,52.404346 4.934582,52.404288 4.934593,52.404191 4.934579,52.404123 4.934531,52.403992 4.934395,52.403904 4.934376"
1551,Nieuwe Leeuwarderweg,70,"52.39529 4.924334,52.396474 4.925383,52.397298 4.926231,52.397709 4.926694,52.398138 4.927196,52.398588 4.927756,52.39903 4.928323,52.399106 4.928406"
1552,Nieuwe Leeuwarderweg,70,"52.384661 4.911501,52.384888 4.91173,52.385128 4.911999,52.385303 4.912224,52.38543 4.912407,52.38568 4.91281,52.385987 4.913356,52.386302 4.913942,52.386888 4.915086,52.387459 4.916264,52.387643 4.916635,52.388066 4.917531,52.388827 4.919052,52.389487 4.920019"
1558,Nieuwe Leeuwarderweg,50,"52.403289 4.934513,52.403328 4.934695,52.403523 4.934975,52.403649 4.93518,52.403735 4.935357,52.403762 4.935481,52.403763 4.935609,52.403737 4.935746,52.40369 4.935841,52.403629 4.935902,52.403554 4.935935,52.403493 4.935941,52.403436 4.935926,52.403346 4.935866,52.403241 4.935744,52.402686 4.935002"
1569,Nieuwe Leeuwarderweg,80,"52.40675 4.938255,52.407277 4.938927,52.40801 4.939741,52.408874 4.940588,52.408924 4.940786"
1572,Nieuwe Leeuwarderweg,70,"52.399106 4.928406,52.39962 4.929112,52.400037 4.92957,52.400482 4.930111,52.402506 4.932677,52.403904 4.934376"
1578,Nieuwe Leeuwarderweg,70,"52.403904 4.934376,52.404177 4.934709,52.40487 4.935583,52.404982 4.935709"
